content,score,Target_type,target_type
matio,5,1,1
sangat cukup bantu,2,0,0
,3,1,1
bagus,5,1,1
sangat bantu,5,1,1
ok,5,1,1
bagus sekali,5,1,1
mantap,4,1,1
baik,5,1,1
mantap,4,1,1
puas sangat terima kasih canva,5,1,1
sangat mudah dan bagus,5,1,1
sangat bantu kerja sekolah,5,1,1
manfaat terima kasih,5,1,1
mayan bantu aamiin,5,1,1
bagus tetapi sering lag,5,1,1
sangat bantu,5,1,1
suka sangat,5,1,1
canva bantu,5,1,1
,4,1,1
canva beri mudah bagi kita guna,1,0,0
sangat bagus,5,1,1
sangat mudah dan manfaat,5,1,1
ok baik sekali,5,1,1
,5,1,1
baru mau ajar,3,1,1
bagus sekali kembang lagiya,5,1,1
bagus apakah nyaa,5,1,1
sangat bagus,5,1,1
kereennn bangettt huhuuuu jadi gampang sangat dahh buat edit foto vidio,5,1,1
terimakaih aplikasi yang sangat bagus,5,1,1
buat poster sangat bagus dan tarik tiap buat,5,1,1
bagus untuk canva,5,1,1
sangat bagusss,5,1,1
ok,5,1,1
canva sangat bantu sekali dalam dunia per desain nan,5,1,1
perveck,5,1,1
baik,1,0,0
very good,5,1,1
keren,4,1,1
sangat bantu,5,1,1
maa syaa allah sangat baik untuk desain apa itu,5,1,1
mantap dan lengkap,5,1,1
servernya suka lot dan eror,2,0,0
lintang,5,1,1
sangat bantu dan mudah mantap,5,1,1
mudah sekali untuk bikin materi,5,1,1
bagus sekali aplikasi saya suka,5,1,1
aplikasi yang manfaat,5,1,1
keren,2,0,0
sangat bagus bisa bantu bagi raka yang belum paham ps,5,1,1
oke sekali,5,1,1
bagus,5,1,1
terlalu lot dan banyak bug,1,0,0
beberapa kali edit gambar pakai canva lancar fitur dan template nya banyak overall bintang,5,1,1
aplikasi keren mnurutq dalam dunia desain praktis sangat buat yang buru buat desain,5,1,1
sangarrr,5,1,1
mantap,4,1,1
aplikasi sangat bagus,5,1,1
bagus,5,1,1
sangat mudah di guna,5,1,1
the best sudah,5,1,1
sangat bantu,5,1,1
masih coba,5,1,1
sangat bagus aplikasi sangat bantu dalam hal desain,5,1,1
mantap,5,1,1
cacad,1,0,0
lucu,5,1,1
mantafppp,5,1,1
sudah inspirasi seluru indonesia,5,1,1
bagus,5,1,1
keren habis,5,1,1
mantaaappp bagus sekali,5,1,1
good,5,1,1
guna,5,1,1
sangat bagus tetapi harus lebih banyak pulih warna,4,1,1
sangat bantu,5,1,1
bagus sekali aplikasi sangat bergunaaaa,5,1,1
mudah di ajar,5,1,1
banyak sekali desain bagus sangat bantu,5,1,1
lot,1,0,0
,5,1,1
perfect,5,1,1
bagus sekali,4,1,1
mantap,5,1,1
hasil bagus mudah aplikasi dan mantap,5,1,1
aplikasi good,5,1,1
keren,5,1,1
buat logo sangat bagus,5,1,1
pertama kali coba bagus,4,1,1
bagus,5,1,1
aplikasi ini bagus saya sangat suka,4,1,1
saya kok tidak bisa ganti baju nya mirip tidak ada letak fitur nya,2,0,0
lot banh,1,0,0
bagus,1,0,0
bagus sangat,4,1,1
top sangat,5,1,1
mantab,5,1,1
bagus skli apakah nya,5,1,1
cukup baik,5,1,1
sangat bantu,5,1,1
bagus tetapi jangan lelet,5,1,1
,5,1,1
guud,5,1,1
keren,4,1,1
ok,4,1,1
disain mudah di paham,5,1,1
awal saya pakai aplikasi ini bagus tetapi telah lama jadi warna putih kalau sudah di baik saya kasih bintang,3,1,1
bagusssssss bangttttttttttt canvaaaaaa,5,1,1
mantap aplikasi,4,1,1
saya sangat kes dan kenan untuk ajar,5,1,1
bagus,5,1,1
bagus buat bikin tugas presentasi,5,1,1
baik,5,1,1
mantaap,3,1,1
saya tidak pernah langgan di apakah ini mungkin teman atau keluarga tanpa tahu saya minta kembali dana syaa mohon,2,0,0
wooo,5,1,1
stay since tahun of october then i had to uninstall yesterday i dont wanna made spamming or worsen due to my data breach,5,1,1
aplikasi baik,5,1,1
best,5,1,1
sangat bantu,5,1,1
mantaf,4,1,1
aplikasi bagus sekali suka karena bikin tugas jadi lebih gampang,5,1,1
keren,5,1,1
sangat bantu,5,1,1
bagus sekali buat mula seperti saya,4,1,1
top,5,1,1
keren,5,1,1
yeq,1,0,0
sangat bantu,5,1,1
buagooouusss,5,1,1
sangat baik,5,1,1
mantap,5,1,1
baguss sangat bantu buat nilai,5,1,1
good,5,1,1
bagus sekali meski awal bikin pusing soal tidak paham,5,1,1
aplikasi yang bagus manfaat,5,1,1
baik,5,1,1
bagus dan mudah,5,1,1
sangat bantu,3,1,1
yang grtis lebih banyak lagi dong,5,1,1
keren,5,1,1
bagus,5,1,1
ok,5,1,1
canva so great seru,5,1,1
mantap bantu untuk kembang usaha saya,4,1,1
baru mau tes,4,1,1
sangat bantu dalam buat tugas dan kreativitas,5,1,1
aplikasi canva bagus dan mantap,5,1,1
sangat bagusss dan bisa untuk selesai tugas dari sekolah apakah nya sangat guna dan manfaat dan cocok buat yang sedan desain gambar pola untuk tugas atau lain,5,1,1
tidak bisa mendownload,2,0,0
sangat bagus,5,1,1
sangat bantu untuk bagai perlu terima kasih canva seru,5,1,1
aplikasi canva sanggat bagus dan mudah saya untuk kerja tugas tugas saya,5,1,1
bagus sekali aplikasi,5,1,1
bagus,5,1,1
nice,1,0,0
bantu buat logo dan desain dengan mudah,5,1,1
good,5,1,1
sangat bantu dan mudah aplikasi terima kasih,5,1,1
bagus,3,1,1
lot anjir,1,0,0
good,5,1,1
terima kasih telah mudah dalam buat media ajar sehingga makin asyik,5,1,1
keren,5,1,1
aplikasi canva ini bisa andal sekali untuk bantu buat persentase dan amat payah untuk buat video utama yang kena dengan audio,4,1,1
bagus,5,1,1
aplikasi mantul sangat bantu,5,1,1
bikin kanva offline,1,0,0
oke,5,1,1
ini gimana cara masuk nya ko tidak bisa ua,3,1,1
ok,4,1,1
,5,1,1
maaf ya canva ini bagus saya suka taoi kurang nya dia itu lot sangat dan nguras banyak internet apalagi kalau buat poster pas buru terus lot,3,1,1
baik,5,1,1
mantaap,5,1,1
untuk edit video tidak saran guna canva hasil jelek putus putus susah guna elemen lain dan lot benar benar bikin kecewa seru seru,1,0,0
aplikasi yang sangat kreatif tetapi sayang jaring di tempat saya sangat buruk,5,1,1
alapyu,5,1,1
,5,1,1
mantap,5,1,1
hebat dan mudah di guna,5,1,1
keren,5,1,1
kenapa canva tidak bisa di buka padahal sinyal banyak,1,0,0
bagua,3,1,1
keren,5,1,1
kren sekali moga tetap the best,3,1,1
sangat baguss,5,1,1
bagus,5,1,1
teh daun kelor yang di proses di dalam suhu ruang dengan tingkat suhu kisar drajat sehingga nutrisi yang ada pada daun kelor tetap jaga,5,1,1
bagus dan canva nya bisa buat tugas,5,1,1
keren pokok,5,1,1
keren aplikasi,5,1,1
kenapa tidak bisa log in,1,0,0
keren,5,1,1
mantap bos,5,1,1
bagus,5,1,1
bagus sekali,1,0,0
mkasih yah hihi bagus kok,5,1,1
bayak bugnya sekarang bagaimana siiii sudah tidak bagus dulu,1,0,0
sangat guna,4,1,1
sangat bantu umkm dalam buat iklan produk terima kasih canva,5,1,1
bagus bisa edit fto video hanya kalau elemen mau yang lebih bagus harus pakai canva pro yaitu harus bayar ya pokok the best tetapi sedikit susah untuk bikin ky poster ajar dagang jadi saya hanya bisa asih bintang saja dulu,4,1,1
,5,1,1
bug nya makin banyak bikin kesal saja waktu ngedit kurang nyaman mirip lag oading lama sekali refresh kali kali masih problem saja sinyal banyak dan ruang simpan juga masih banyak kosong nya tolong baik cepat karena turut saya canva aplikasi yang sangat bantu desain an,4,1,1
bagus,5,1,1
baguss,5,1,1
tks canva,5,1,1
mantap bingitsz,5,1,1
apakah nya sangat bagus sekali,5,1,1
baik,5,1,1
keren bagus aplk nya,2,0,0
baik,5,1,1
kalian wajib download karana fitur nya bagus terima kasih saya jadi suka terima kasih banyak sudah ada fitur fitur lain,5,1,1
bagus,4,1,1
aplikasi yang bagus,5,1,1
mantap,5,1,1
ini cocok buat orang gambar sihh pokok bagus sangat dehhh,5,1,1
sangat bantu ketika buat tugas desain,5,1,1
sangat mudah guna,5,1,1
bagussssss,5,1,1
tolong di baik lagi saat untuk login ke akun ajar id terkadang situs error,1,0,0
sangat bagus,1,0,0
sangat bagus,5,1,1
rekomendasi sekali karena sudah komplit semua,5,1,1
salah satu aplikasi yang sangat bagus dan cocok bagi desainer,5,1,1
guna sekali aplikasi ini,4,1,1
bagus sekali,5,1,1
bagus,5,1,1
sangat bantu untuk kreasi,5,1,1
mantap bangat,5,1,1
this is so good to use seru seru,5,1,1
bagus sekali,5,1,1
bagus,5,1,1
sudah lama menggunalan aplikasi canva tetapi minggu ini tidak bisa masuk mohon cerah min,5,1,1
sangat bantu,4,1,1
sangat bagus,5,1,1
canva sangat bantu saya dalam buat vidio ajar,5,1,1
bagus,4,1,1
aplikasi bagus sekali cocok untuk latih bikin logo bintang sih,5,1,1
bagus,5,1,1
mudah guna,5,1,1
sangat bagus,5,1,1
kereeeee,5,1,1
aplikasi ini bagus sekali untuk ajar seperti saya,5,1,1
aplikasi sangat bagus sampai sampai saya buka aplikasi nya pun muter terus padahal sinyal bagus sangat bagus sekali,1,0,0
kurang bagus ketika ingin login buat akun kali mncb tetap salah padahal cara tlsn email dan password sudah benar semua tetapi tetap tidak bisa buat akun there still plenty of cellphone memory still can t dulu belum nya juga sudah punya sengaja saja di hapus and also orang bilang this application juga banyak sekali iklan walaupun tidak gratis tidak pantas juga seperti itu please fix itu immediately and mudah untuk buat akun nya kasihan yang lain tidak maka hp iphone jadi susah ribet bet,1,0,0
bagus,4,1,1
sangat apresiatif untuk canva karena super duper keren dan kreatif dengan desain yang tarik dan kaya varian templet banyak guna dalam segala aktivitas dan momen,5,1,1
bagus hasil,3,1,1
mantapz,4,1,1
baik bagus guna asyik mantap,5,1,1
sangat bagus cocok untuk buat poster dan edit foto terima kasih canva,5,1,1
mantap,5,1,1
goodddd,5,1,1
sangat bantu,5,1,1
terima kasih app nya sangat bagus,5,1,1
fiturnya sangat lengkap dan sangat mudah guna yang baru ajar desain,5,1,1
saya sangat puasss,5,1,1
bagus,5,1,1
ngeleg,1,0,0
sangat bagus,5,1,1
sangat bagus canva,5,1,1
sangat bantu dan mudah guna,5,1,1
saya suka,5,1,1
sejak ada aplikasi ini tugas saya makin tambah,1,0,0
ok,4,1,1
over all good mungkin di tambah lagi stiker lucu dan aesthetic nya terima kasih,5,1,1
excited luv,5,1,1
ok,5,1,1
oke,5,1,1
bagus bgttt,5,1,1
bagus untuk ajar edit,4,1,1
smart people always have a good choose,5,1,1
ssngat maembantu,5,1,1
karena tidak mirip sama microsoft,1,0,0
the best,5,1,1
baguus,5,1,1
good,5,1,1
bagus dana keren,5,1,1
bro ini bagus loch,5,1,1
saya suka sekali canva,5,1,1
aplikasi bagus,5,1,1
puas,3,1,1
nice,5,1,1
ytta,4,1,1
keren cara mudah buat brbagai macam spanduk dan bahan ajar,5,1,1
kerren,5,1,1
bagus,5,1,1
sangat bantu,5,1,1
bagus,5,1,1
sangat bagus,5,1,1
nganuu,2,0,0
keren,5,1,1
aplikasi sangat bantu sekali sukses terus canva,5,1,1
jauh ini masih bagusss,4,1,1
aplikasi nya bagus dan mudah guna,5,1,1
bagus,5,1,1
bagus,5,1,1
sangat bantu dalam buat konten,5,1,1
sudah tahun akhir guna canva ok sekali sih buat edit foto video tugas buat media ajar dan lain fiturnya ok semua,5,1,1
aplikasi bagus dan sangat guna untuk saya karena bisa buat poster atau apa itu yang tarik tetapi tolong di baik soal kalau misal kita taruh hp kita nanti dokumen nya hilang,4,1,1
mudah dan praktis untuk buat presentasi,5,1,1
keren,5,1,1
sangat bagus dan sangat bantu terima kasih canva,5,1,1
maaf kata kasar min karena saldo tiba hilang saja bikin panik,5,1,1
mudah dan profesional,5,1,1
lumayan bantu,5,1,1
hei canva bisa tidak kembaliin pulsa saya tanya tanpa ada tuju untuk panjang main potong pulsa orang saja siij,1,0,0
bagus,5,1,1
jauh ini paling jos,5,1,1
mantap,5,1,1
matapp,4,1,1
bagusss puollllllllllllll,5,1,1
bagus,5,1,1
bagus,5,1,1
mantap,5,1,1
bagus,5,1,1
mering kan bebas sekali,5,1,1
mntep,5,1,1
sangat baik,5,1,1
oke,5,1,1
aplikasi yang bagus rekomendasi,5,1,1
memang jempol ya thank yak,5,1,1
bagus bangetttt wauuuu emezing,5,1,1
bagus,5,1,1
bagus sekali,5,1,1
bagis,5,1,1
bagus sekali,4,1,1
ok,5,1,1
bagus,4,1,1
mantull aplikasi y,4,1,1
baik dan mudak kerja,5,1,1
kenapa sih sering sekali lot saat buka elemen dan lain lain nya tolong lah padahal jaring lancar sangat pas di canva kenapa jadi ngelagggg,3,1,1
saya tidak bisa login canva guna akun ajar id padahal semua nya sudah benar,2,0,0
sangat bantu,5,1,1
sangat bantu kalau bisa semua gratiss,5,1,1
best app to design,5,1,1
sangat puas dan sangt bantu,4,1,1
bagus,1,0,0
karena saat saya mau edit tampil elemen nya tidak muncul padahal jaring wifi baik saja baik ya canvaa,4,1,1
keren aplikasi nya,4,1,1
good this is because i can pakai work faster,5,1,1
tiap kali mau buat disain loding lama sekali,1,0,0
baik,5,1,1
mantapp jiwa,5,1,1
betul bagus tetapi kalau mau ngedit kadang lot,3,1,1
kereen desain yang guna untuk brbagai macam tuju,5,1,1
keren dan praktis,3,1,1
bagus tetapi sangat sering crash error padahal saya guna yang bayar saya kembali bintang kalau sudah baik,2,0,0
aplikasi canva sangat mudah para desainer dan anak anak muda yang ber foto geafel bisa cari uang dan sayang sangat senang ada aplikasi ini puas,5,1,1
sangat bantu,5,1,1
error,1,0,0
baguss aplikasi nyaa,5,1,1
harus,5,1,1
luar biasa,5,1,1
bagus,5,1,1
aplikasi sangat bagussss,5,1,1
lopeeeee,3,1,1
bagus dan elegan,5,1,1
kerenn ig kelas saya jadi kecehh pakai apakah iniii,5,1,1
sangat bantu,4,1,1
bagus,4,1,1
bagusss,5,1,1
sangat recommend,5,1,1
cakap,5,1,1
aplikasi jos,5,1,1
baguss tetapi kalau di akun saya tidak bisa buat canva ajar padahalll saya ajar,3,1,1
terlalu lama proses save filenya,2,0,0
baik,5,1,1
sangat bantu,5,1,1
sangat bantu,5,1,1
beberapa waktu tidak saya buka dengan akun ajar id tiba logout sendiri dan tidak bisa login lagi dengan email apa aplikasi force close terus,1,0,0
ada gratis nya,5,1,1
cukup bantu,4,1,1
ziarah,1,0,0
good,5,1,1
oke,5,1,1
sangat bagus,5,1,1
aplikasi juara,5,1,1
tidak bisa masuk aneh ni apakah padahal sinyal bagus bagus saja,1,0,0
good,5,1,1
bagus sekali semua fitur lengkap dan bagus saya suka seru seru,5,1,1
aplikasi terkadang lag tetapi ada banyak bagai kreativitas dalam aplikasi jadi turut saya tidak buruk juga,3,1,1
canva bagus si benar tetapi loading nya lama padhall sinyal juga kencang tetapi sayang lama sekali kalau mau buka fiturnya begitu jadi males apalagi kalau sudah buat nugas sering sekali ke begitu lama tolong ya di baik lagi,3,1,1
aplikasi yang sangat bantu di semua aspek kerja,5,1,1
ok saja,3,1,1
loading nya lama sekali,1,0,0
aplikasi ini loading lamaa sekali padahal jaring saya baik saja saat buka aplikasi lain,1,0,0
bagussss,5,1,1
aplikasi sangat guna elemen sama template nya juga pada bagus tetapi hanya saja aplikasi lot sekali jadi susah mau ngedit ngedit,3,1,1
aplikasi nya bagus,5,1,1
sangat bagus,5,1,1
bagus tetapi kalau lagi buat kadang ada yang ngeblenk,4,1,1
saya suka canva,5,1,1
ihhh suka sangat saya sama aplikasi ini,5,1,1
sangat bantu apabila ada tugas sekolah dan bantu saya juga dalam edit foto juga banyak templat templat yang tarik,5,1,1
sorry min bintang karena video yang saya capai capai buat dari canva tidak bisa di download,2,0,0
mudah sekali kalau mau design sesuatu tetapi lambat sekali anjinggg tidak cocok buat orang yang sabar setip tisu bisa tidak sih di baru lagi biar tidak lot sangat begitu,2,0,0
bagus sih tetapi banyak sekali template yang hanya bisa guna dengan premium jadi kurang muas,4,1,1
sangat manfaat,5,1,1
ok,5,1,1
keren,4,1,1
mantap saja,5,1,1
thebest,5,1,1
good,5,1,1
pokok keren,5,1,1
good like,5,1,1
dupserter,5,1,1
pas mau masuk ke room edit malah closed,2,0,0
good,5,1,1
bagus,5,1,1
untuk ukur khusus custom tulis size cuma tidak bisa di klik posisi terlalu pojok bawah tolong baik,1,0,0
mantap,5,1,1
bagus tetapi suka lama ngebuka nya,3,1,1
baguss sangat aplikasi nya mudah buat edit,5,1,1
canfa the best aplikasi design,1,0,0
keren luar biasaa terima kasih canva baru pertama bikin benar kalau buah ajaib,5,1,1
plikasi bikin poster baik,5,1,1
sangat baik,5,1,1
sangat bantu,5,1,1
aplikasi tidak jls untuk edit lambat sekali buat kesal saja padahal jaring bagus tetapi tetap saja lambat ck,1,0,0
bagusss,5,1,1
bagus tetapi turut saya apakah nya di naikin lagi ya kak kualitas nya,3,1,1
bagus,5,1,1
apakah ini bagus sekali bisa ngebantu ngedit ngedit tugas sekolah atau konten apa tetapi kadang suka ngelag padahal jaring baguss kenapaa ya tanya,3,1,1
bagusss sekali sumpah,4,1,1
sudah dowload canva berapa kali tetap hasipnya nihil tidak ada yang benar semua baik kalau mau ratting nya bagus masih tetap ah ni yah sudah saya dowload ulang tetapi henti terus apa yang salah sih,1,0,0
mantab kali,5,1,1
keren sekali gan,5,1,1
bagus,4,1,1
wow desain nya sangat estetik,5,1,1
mantap,5,1,1
aplikasi tidak jelas apa saja pro harus bayar terus pas sudah bayar bikin bagan sering nge freeze padahal saya ip aneh,1,0,0
bantu dalam edit tiap giat utama media sosial,5,1,1
mungkin di sini saya harus kembang bakat saya heheheh,5,1,1
sangat bantu,5,1,1
bagus bantu buat tugas,5,1,1
baik,5,1,1
mantap,5,1,1
bagus,5,1,1
baru pertama kali coba senang,5,1,1
bantu,5,1,1
ini sangat bagus dan mudah di guna,5,1,1
kualitas burik,1,0,0
bagus sekali dan sangat bantu untuk edit dengan banyak nya template mudah saya,5,1,1
fitur edit lengkap bagus juga buat bikin konten atau untuk tugas kampus,5,1,1
awesome,5,1,1
lumayan bagus,4,1,1
aplikasi sangat muas,5,1,1
luar biasa,5,1,1
bagus dan bantu,5,1,1
suka sekali foto bisa langsung dijadiin pdf bagus buat saya yang males ngedit lagi hehehehehehehheheh suka sekali pokok terus fiturnya lengkap bgtt suka terima kasih canvaaaaaaww,5,1,1
keren,1,0,0
agak susah yhh bun,5,1,1
puas aplikasi desain baik,5,1,1
recommended seru seru,5,1,1
lmott padahal wifinya lncar,2,0,0
baik,4,1,1
aplikasi ini sangat bagus,5,1,1
adzkia nur safitri,5,1,1
sangatbmenba,5,1,1
masih di ajar karena baru pakai,5,1,1
sangat bagus dan tidak ada iklan,5,1,1
bagus sangat mudah,5,1,1
cool,5,1,1
pelit,5,1,1
,5,1,1
mudah dan cerdas,5,1,1
bagus mudah,5,1,1
kecewa apakah nya sering lot padahal jaring bagus,2,0,0
sangat bantu kerja,5,1,1
memang ajib saya puas guna aplikasi canva,5,1,1
simpel dan praktis saya suka apakah nya,5,1,1
sumpah ini app bantu sekali buat poster dakwah,5,1,1
app yang sangat bantu,5,1,1
sangat bagus,5,1,1
good job mantul aplikasi ini super super bagus,5,1,1
mohon maaf ini kenapa canva tiba tiba jadi burem yaa tanya mohon baik,2,0,0
jaring internet full tetapi aplikasi seperti berat sekali loading nya lama,1,0,0
ngeleg,4,1,1
bagus,5,1,1
bagus,5,1,1
bagusss trusss muas bisa bantu saya dalam kerja eja sekolah,5,1,1
bagus sih tetapi tidak bisa di instal,4,1,1
kok tidak bisa dibukak kenapa ya kak,3,1,1
saya baru pernah ikut aplikasi ini,5,1,1
sangat bagus buat gedit,5,1,1
lot sangat tidak di windows tidak di hp nang bangettt rasa pas ngedit di canva hp ken sekali saya bantingg arghhhh canvaa ayo kasih saya iphone biar tidak rasa betapa sangat amat amat lot aplikasi kamu ini,2,0,0
bantu bangettt,5,1,1
ok,5,1,1
aplikasi sangat bantu dari buat disaener hal pribadi dan yang lain pokok bagus sangat deh ngebantu saya buat kreasi juga terima kasih canva,5,1,1
bagus sekali tetapi agak ngelag,3,1,1
bagus sekali inti yang mau buat apa saja di sini ada,5,1,1
kenapa pas ngedit tidak muncul fitur fiturnya ya tanya padhl koneksi saya bagus dan saya ulang terus tetapi tetap sama mohon bantu,4,1,1
sangat bagus saya suka,5,1,1
bagus sekali apakah nya,4,1,1
mantab,5,1,1
ok,4,1,1
keren,5,1,1
editing yang kelas,5,1,1
oke sekali,5,1,1
bagus,5,1,1
sangat bagus dan pakai buat yang di perlu,5,1,1
jelek,5,1,1
loading lama,4,1,1
baik,5,1,1
aplikasi apa game yang bwrat saja lancar jaya jaring tetapi bukak aplikasi ni kek babi,1,0,0
kereeen sangat mudah guna nya terima kasih canva,5,1,1
aplikasi bagus mudah kerja saya,5,1,1
suka sekali,4,1,1
baguss,4,1,1
keren,5,1,1
ups,5,1,1
bagus,5,1,1
