content,score,Target_type,target_type
apknya sih baguss tetapi saya pakai hp ram tetappp lemottttttt apknya jaring bagus padahal sumpahhhh apakah bikin stresss mau ngedit malah emosi,1,0,0
sangat muas dalam edit video,5,1,1
keren,5,1,1
dengan canva saya dapat buat jadwal ajar,1,0,0
ok,3,1,1
bagus,1,0,0
canva sekarang kenapa ya tanya tanya tanya kok makin lelet tanya padahal jaring tidak ngelag sama sekali tetapi lot sekali padahal tugas masih numpukk tolong dong canva baik lagi agar tidak lot,3,1,1
,4,1,1
bagus tetapi kenapa ada hitam yang pro ya tanya itu buat apa tanya,4,1,1
saya suka sangat sama aplikasi nya cocok buat saya jual,5,1,1
mantap sangat bantu,5,1,1
,5,1,1
luar biasa,5,1,1
guna bangettt,5,1,1
bagus sekali aplikasi ini,5,1,1
suka,4,1,1
sangat bantu,5,1,1
bagus sekali,5,1,1
bug,1,0,0
cakap,5,1,1
sangat guna untuk tugas ajar,5,1,1
bagus dan cocok untuk simpan yang kurang cukup,5,1,1
sangat baguss,5,1,1
bagus buat ngedit cuma tolong sangat canva pro nya kurangkn,4,1,1
keren,5,1,1
gut,3,1,1
bagus sekali,5,1,1
mantapsss,4,1,1
mantap,5,1,1
sangat bantu untuk bikin ppt,5,1,1
bagus,5,1,1
god apakah editor,5,1,1
,4,1,1
bagus sekali kayakada karakter kalau mau bikin logo,5,1,1
bagus sangat bantu,5,1,1
bagus bisa guna untuk penting osis,5,1,1
aplikasi nya bagus sekali tetapi tolong di baik lagi yh saya kasih bintang karena fitur nya lumayan lah yah bagus tetapi dengan tolong di baik bug nya ok segitu saja sekian terima kasih,5,1,1
aplikasi susah untuk edit lot lola buat buka dokumen susah minta ampun loading terus padahal saya itu tidak pakai data pakenya wifi di rumah tetapi tetap saja lola lot saran deh baik tolong nyusahin sekali kalau kaya gin buat saya ajar yang sering ada tugas dari sekolah mohon tolong baik,1,0,0
aplikasi ini sangat keren,5,1,1
apakah nya bagus keren pol mantul tetapi saat guna untuk edit apakah nya jadi lot,5,1,1
pakai nya agak susah untuk mula,4,1,1
nice,5,1,1
terima kasih aplikasi moga manfaat n mohon untuk di baik lagi karena aplikasi sangat lamban selalu di muat ulang saat login,5,1,1
kerenaih,3,1,1
moga selalu sehat sukses buat canva,5,1,1
luar biasa,5,1,1
bagus mudah di guna,5,1,1
baik,5,1,1
bagus sekali karena bisa edit jadwal piket di sekolah,5,1,1
good buanget,5,1,1
terima kasih,5,1,1
keren,5,1,1
apakah nya bagus,5,1,1
aplikasi rusak sinyal bagus buffering terus,1,0,0
jos,5,1,1
coba dulu,5,1,1
suka,5,1,1
sumpahhhhhh keren bgttt apalagi ada tambah ai gambar itu sumpah terima kasih sangat lohhh ada fitur ai gambarrrrr,5,1,1
aplikasi yang sangat bantu untuk edit pamflet ppt dan bagai banyak tamplate yang tarik,5,1,1
sangat bantu,5,1,1
bagus,5,1,1
sangat bantu saya dalam buat poster brosur dan lain terima kasih telah buat aplikasi yang sangat manfaat,5,1,1
luar biasa,5,1,1
sangat tarik,5,1,1
ini kenapa saya tidak bisa login guna akun ajar kok keluar terus dari apakah,2,0,0
very good,5,1,1
bagus,5,1,1
bagus sekali,5,1,1
sangat tarik dan bantu,5,1,1
,5,1,1
apakah yang bagus untuk ngedit foto dan buat serifikat dan jenis,5,1,1
mantul,5,1,1
very good,5,1,1
bgis skli,3,1,1
bagus hanya yang kurang tidak bisa bikin rangkum materi materi,4,1,1
greattt,5,1,1
bagusss,5,1,1
aplikasi yang sangat bagus,5,1,1
good,5,1,1
keren sekali,5,1,1
saya akan ikan bintang jika muas,4,1,1
apakah error tidak guna tiap mau masuk muat ulang padahal wifi pakai tidak ganiat bikin apakah,1,0,0
sangat bagus sekali,5,1,1
canva memang luar biasa dan bisa andal,5,1,1
wifi dan kuota lancar tetapi tetap saja lot,2,0,0
tolong baik lagi agar aplikasi nya tambah bagus,1,0,0
canvaa kamu tidak ada niat kasi saya premium gratis kahh t t mau buat struktur kelas tetapi canva tidak premiumm love you canvaa,5,1,1
thank you,4,1,1
luar biasaa seru seru,5,1,1
sangat bergunaaa,5,1,1
aplikasi yang sangat bantu selagi peraktis,5,1,1
sangat bantu kami untuk buat lengkap persentasi,5,1,1
belum pernah coba bercyandaaa bercyanda bagus kok,3,1,1
sangat bantu jadi erti guna amplikasi ini,5,1,1
apknya bagus saya suka dan hasil juga bagus tidak ada kurang,5,1,1
kerenn cuyy apakah nyaa guna sangat buat bikin struktur begituu anjaaaayyyy,5,1,1
bagus,5,1,1
terima kasih viedeo saya jadi lebih tarik tetapi masih bingung karena gambar dalam video potong jadi gambar tidak full,4,1,1
aplikasi bagus tetapi banyak desain yang pro kalau di donlod susah terus pas mau donlod waktu donlod yang desain video itu susah lama sekali mnguras waktu sekali moga cepat di baik ya agak guna tidak bosan saat mngunduh desain dari canva dan tolonv untuk lebih cepat lagi dalam login ulang atau eaktu siap desain,2,0,0
very good,5,1,1
sangat bantu buat kerja hari hari bagai desainer mula pokok best,5,1,1
baru di coba mudah n bagus,5,1,1
keren,5,1,1
sangat manfaat bagi saya,5,1,1
pokok mantap,5,1,1
so far canva is my favorite application,5,1,1
ok,5,1,1
canva sangat bantu saya untuk desain apa lemah audio dari video yang saya punya tidak bisa masuk ke video yang saya buat jika sudah ada update baru dan bagus saya akan kasih canva bintang,5,1,1
buat canva tolong baik fitur sesuai nya di kolom latar belakang nya terlalu bawah deket dengan navigasi handphone kami jadi sulit untuk ngedit nya terima kasih,5,1,1
sangat manfaat sekali,5,1,1
sangat bantu sekali,5,1,1
,5,1,1
hallo canva sangat bagus saya suka tetapi mohon di baik ya kasih bintang dulu soal terkadang lemott canva nya terima kasih,4,1,1
bagus,4,1,1
kereeen,5,1,1
amazing,5,1,1
keren,5,1,1
saya suka canva namun entah jalan pada desktop maupun aplikasi android tetap lot padahal koneksi sangat aman simpan aman dan saya biasa tutup tab aplikasi yang tidak guna saya juga rajin update aplikasi namun canva tetap jalan berat lama untuk proses unduh bahkan untuk cari elemen saja kadang tidak jalan tolong segera baik banyak teman saya yang guna canva keluh hal sama,2,0,0
ok sangat bantu cantik,5,1,1
bagus sekali apakah nya saya suka,5,1,1
bagus,4,1,1
i so likeddd seru seru,5,1,1
keren,5,1,1
bagus,5,1,1
amazing,5,1,1
bagus,5,1,1
bagus sekali,5,1,1
amazing,4,1,1
suka karena bisa riqwes warna hijau,4,1,1
sangat keren,5,1,1
bagus,5,1,1
oke,5,1,1
leg sangat,1,0,0
bagus,4,1,1
sangat bantu untuk ajar,5,1,1
sangat bagus,5,1,1
kereeeennn,5,1,1
dari bintang satu sampai tujuh,3,1,1
masih coba karena masih mula,3,1,1
sangat bantu n luar biasa terima kasih,5,1,1
sangat bguss saya sukaa ngedit di sini,4,1,1
oo bagus,4,1,1
bagus,5,1,1
bagus sangat sangat bantu,5,1,1
lama amat ngunduhnya amit amit saya capai tahu tidak nunggu,1,0,0
sangat guna untuk saya yang masih mula,5,1,1
kurang apakah ini kalau mau kembali malah kek baru masuk apakah nya,3,1,1
susah juga operasi canva,4,1,1
bagus,5,1,1
fitur nya sangat bagus,5,1,1
sangat bantu,4,1,1
sgtttt mmbntu apakah nyaa tidak sesal download apakah canvaaaaaa terima kasih you canvaaa,5,1,1
aplikasi ini sangat bagus sekali dan banyak bantu utama untuk presentasi ajar moga depan tambah bagus lagi,5,1,1
nice,4,1,1
good job,4,1,1
aplikasi yang mudah jalan,5,1,1
sangat bagus,5,1,1
bagusss,5,1,1
bagus,5,1,1
keren,5,1,1
sangat bantu,5,1,1
bagus baget puas dengan hasil,5,1,1
alas kasih bintang tidak bisa log in akun ajar di aplikasi aplikasi lambat bangettt padahal internet bagus dan simpan masih banyak suka ngelag mohon diperbaikiiiiiiiii,1,0,0
mantappp,5,1,1
baik,5,1,1
aplikasi nya bagusss,5,1,1
aplikasi bagus lengkap juga tetapi sygnya suka ngelag,4,1,1
oke,5,1,1
canva bagus simple bravo,5,1,1
baik,5,1,1
good,5,1,1
bagus banyak stiker dan templatenya jadi enak deh tidak usah repot ngedit sendiri,5,1,1
ini sangat guna sekali,5,1,1
sangat bantu bagus untuk ajar,5,1,1
aplikasi nya sangat rekomendasi untuk edit foto,5,1,1
mantap sangat mudah dan bantu kerja,5,1,1
aduh sayang sekali lambat lot,2,0,0
ini sangat bi,5,1,1
bagus,4,1,1
gaga bet,5,1,1
ini kalau premium satu kali bayar atau bulan sih kalau satu kali bayar ya oke kapan waktu beli,3,1,1
sangat bagus,5,1,1
good,5,1,1
bagus,5,1,1
sangat bantu dalam buat presentasi dan mudah,5,1,1
fagus,5,1,1
sangat bagus,5,1,1
ok,5,1,1
sengaja ya bikin saya marah,1,0,0
bagusss babgettttttt,5,1,1
cari ide buat logo jadi mudah,5,1,1
sangat bantu,5,1,1
lumayan kadang mas ada bug,4,1,1
bagus,5,1,1
sangat bagus,5,1,1
anak desing grafis butuh bngett ini bagus bagus,5,1,1
apakah nya bagus,5,1,1
keren,5,1,1
lumayannn bagusss,4,1,1
sangat bantu untuk kerja tugas sekolah,5,1,1
keren sangat jadi gampang kalau bikin poster,5,1,1
mantap,5,1,1
aplikasi lag padahal jaring bagus bikin emosi saja,1,0,0
aplikasi yang sangat bagus dan manfaat sedia template banyak dan tinggal pakai mantabbbb,5,1,1
sungguh gembira dapat cipta karya yang takjub di canva,5,1,1
belum paham cara buat theme dengan app ini,3,1,1
keren ngebantu sekali yang buka usaha,5,1,1
bagus sekali aplikasi canva karena di sini kamu bisa dapat ide apa yang tarik yuk cobain,5,1,1
baik,4,1,1
ajib,5,1,1
aplikasi yang sangat bantu untuk editing foto,5,1,1
baik,4,1,1
saya kasih bintang dulu kalau edit video fto dan logo nya bagus baru saya kasih bintang full,3,1,1
sangat bguss,5,1,1
nice,5,1,1
baik,1,0,0
saya sangat suka dengan aplikasi canva ini sangat mudah saya untuk mebuat desain poster sticker bahkan untuk postingan di instagram saya guna pun mudah tidak ribet dan bisa di guna cara free juga jika mau upgrade ke premium baru di bayar dan di bayar cukup murah turut saya moga makin bagus depan,5,1,1
mudah cepat dan keren sangat bantu saya dalam dunia editing,5,1,1
lebih bagus lagi kalau gratis,4,1,1
bagus tetapi buat hp lot,5,1,1
mantap,4,1,1
sumpah bantu sekali saat lagi urgent bikin poster buat izin canva solusi baik,5,1,1
andry kasih bntang dulu,2,0,0
aplikasi yang sangat bagus dan bantu untuk freelance,5,1,1
bagus sekali,5,1,1
bagus n keren bantu design cepat,5,1,1
baik,5,1,1
bagus,5,1,1
saya suka sangat karena praktis,5,1,1
the best,5,1,1
bagus,5,1,1
turut saya canva memeberikan nuansa yang baru dan mudah untuk editing photo dan vidio,5,1,1
mantul,5,1,1
sangat bagus,5,1,1
aplikasi keren buat kreasi baik mula maupun yang sudah pro dan sangat bantu buat semua konten,5,1,1
canva ini sangat bagus tetapi harus online saran saya ada mode offline,4,1,1
sangat bantu dalam buat tugas,5,1,1
luar biasa jadi mudah edit foto vidio,5,1,1
,5,1,1
mudah dan gratis mudah umkm,5,1,1
sangat bantu kerja desain,5,1,1
bagus,5,1,1
,5,1,1
good,5,1,1
lumayan,3,1,1
,1,0,0
sangat bantu,5,1,1
mantap,5,1,1
sangat bantu,4,1,1
baikla untuk kali ini saya kasih bintang hanya ukur kenapa muncul di bagi bawah sekali ya agak susah klik,4,1,1
bagusss,1,0,0
mantap,5,1,1
bagusss,4,1,1
good,5,1,1
di android versi error terus tidak bisa masuk akun ajar id,1,0,0
jossss,5,1,1
sangat bantu,5,1,1
ok,5,1,1
saya senang guna aplikasi ini,3,1,1
mantaf,5,1,1
bagus,5,1,1
ok,1,0,0
bagai guna saya mau tanya kenapa tiap saya beri fitur patok bagi baris selalu tidak muncul tanya please butuh sekali bantu,4,1,1
luarbiasaa,5,1,1
saya pakai canva selalu tidak bisa makanya saya pakai hp uti saya,2,0,0
bagus mah,3,1,1
sangat bantu untuk desain mula ok deh,5,1,1
mantap,5,1,1
mantap,5,1,1
kenapa ya telah di instal tidak bisa di buka hanya muncul layar putih dan tulis canva mohon jelas,1,0,0
sangat bagus,5,1,1
mantap,5,1,1
sangat bantu untuk yang tidak bisa desain,5,1,1
bagussss sangat,5,1,1
sangat bagus,5,1,1
mantap,5,1,1
bagus keren dan tarik,5,1,1
mantap,5,1,1
cukup bintang karena sempurna itu hany milik allah,4,1,1
bagus hasil,5,1,1
senang sekali bisa mudah edit dengan hp,5,1,1
cakap gambar nya,5,1,1
puas sekali,5,1,1
baik,2,0,0
mantul,4,1,1
bagus,3,1,1
bagus,4,1,1
mateb,5,1,1
good,5,1,1
apliaksi yang bagus sbnar nya tetapi harus bayar sangat tidak rekomendet,1,0,0
keren aplikasi sangat suka,5,1,1
bagus sangat sbnernya tetapi mau pindah ke pro sudah mau bayar via google dana tetap saja error yatuhan,3,1,1
sementara ini aplikasi bagus tidak ada masalah tetap tahan good job,4,1,1
aplikasi yang bagus,3,1,1
saya sangat suka aplikasi ini,5,1,1
keren,5,1,1
moga makin keren,5,1,1
good,4,1,1
saya izin saran supaya ada kembang untuk bisa warna font bisa gradiasi terima kasih kami desainer sangat bantu untuk hasil karya yang maksimal mengunakan canva,5,1,1
,5,1,1
canva bagus sih tetapi kenapa sering bug sih tanya sudah premium loo desain saya hilang kali tidak bisa di save seru jadi kerja ulang buang waktu waktu di restart malah hilang tolong baik pleaseee,2,0,0
bagus,5,1,1
bagus tetapi agak ribet,5,1,1
kok tidak bisa aplot logo facebook ya,5,1,1
good,5,1,1
pakai canva kek gimana begitu misal ya saya mencet yang a eh malah jadi mencet yang b kek ngelag begitu padahal wifi lancar jaya tetapi ko bisa begitu ya tanya,2,0,0
mantap langsung tunai,5,1,1
baguss,5,1,1
,5,1,1
aplikasi yang sangat manfaat,5,1,1
mantap,4,1,1
the app is very slow to use app a sangat lambat guna,1,0,0
bagus sekali,5,1,1
good,5,1,1
bagus sekali ini aplikasi nya,1,0,0
canva adalah aplikasi yang bagus untuk iklan produk atau karya kita mantap canva,5,1,1
bagusss bangetttt canva kerenn,5,1,1
sangat bagus untuk di pakai,5,1,1
bagus,5,1,1
lalap dengan boi login jirrrrrrr,1,0,0
lot,1,0,0
canva meudahkan kerja editor,5,1,1
sangat bagus sekali,5,1,1
bagus nih,5,1,1
bagus sekali gampang juga,5,1,1
pokok ini nih baguss sangat,5,1,1
bagus,5,1,1
bguss,4,1,1
mantapppll,5,1,1
wow,1,0,0
saya di potong tiap bulan tolong jelas padahal sudah unistal langgan otomatis sendri,1,0,0
kak saran dong bayar canva jangan cuma lewat kartu kredit karena mungkin banyak dari teman yang tidak punya kartu kredit tolong mudah dalam bayar kak,3,1,1
terima kasih atas bantu,5,1,1
canva sangatembantundalam tugas tugas sayav,5,1,1
ibarat nya gin wirr kita tidak punya laptop tetapi kita punya canva,5,1,1
goodd i like itu,5,1,1
i like for apakah,5,1,1
bagus,5,1,1
bagus sekali,5,1,1
aplikasi sangat bagus tetapi dipakenya lot moga pihak kembang bisa segera atas masalah sebut,1,0,0
sangat bantu tugas kuliah sayaaa,5,1,1
aplikasi yang bagus untuk edit poster,5,1,1
aplikasi ini sangat bantu dalam kerja tugas saya terima kasih canva,5,1,1
aplikasi sangat bantu saya dalam kerja sangat mudah guna dan milik banyak varian template yang tarik,5,1,1
good,5,1,1
sering eror saat proses edit,2,0,0
,5,1,1
sangat manfaat syukron,5,1,1
,5,1,1
joooos top sangat,5,1,1
cukup muas,3,1,1
mantap,5,1,1
harus banyak ajar lagi,3,1,1
keren,5,1,1
bagus sekali untuk buat bahan ajar,5,1,1
aplikasi yang sangat bantu,5,1,1
bagus,5,1,1
lumayan bagus,3,1,1
saya sangat senang guna aplikasi ini tugas kantor jadi mudah untuk di kerja keeerreeenn laahh pokok,5,1,1
bagus sekali,5,1,1
mantap untuk di guna,5,1,1
keren,5,1,1
kenapa harus ada premium sihhh saya mau buat struktur kelas malah semua bayar jadi tidak bisa buat dehh,2,0,0
sangat bagus dan sangat bantu jika saya sedang ada tugas sekolah saya inti aplikasi baguss bngttt bngtt,5,1,1
sangat baik dan manfaat,5,1,1
bagus sangat bantu,5,1,1
aplikasi bagus,5,1,1
sangat bagus,5,1,1
keren bantu,5,1,1
baguss template nya juga lucu lucu,4,1,1
bagus,5,1,1
awwaa,5,1,1
bagus sekali,5,1,1
mantap,5,1,1
canva sangat bantu terima kasih canva,5,1,1
sangat bantu dalam urus saya terima kasih,5,1,1
keren bgttt mudah segala urus dalam kerja,5,1,1
sagat bantu kalau sedang kerja pr,5,1,1
bguss,5,1,1
cakkkepp sangat ni aplikasi,5,1,1
aplikasi bagus sangat bantu saat edit,5,1,1
aplikasi sangat bagus,2,0,0
topp,5,1,1
oke juga aplikasi sangat bantu,5,1,1
canva keren apalagi sejak ada studio ajaib tetapi tolong dong fitur luas ajaib baik sudah dua hari ini tidak bisa guna mohon baik segera karena fitur itu bantu sekali terima kasih canva,5,1,1
bagus sekali bantu,4,1,1
,3,1,1
mantap,4,1,1
suka dan sangat bantu utama untuk mula mudah guna ada ribu template dan video yang sedia dan siap guna desain mewah dan tarik,5,1,1
aplikasi bagus sangat,5,1,1
sangat bagus,5,1,1
bagus bantu mungkin cuma sangat lambat agak sedikit ribet bagi mula,1,0,0
sangat manfaat,5,1,1
sangat bantu dalam ajar paud,5,1,1
baik,4,1,1
bagus sekali dan gampang,5,1,1
baik,3,1,1
test dulu,4,1,1
aplikasi canva sangat tarik banyak edit video foto dan logo yang lebih bagus,5,1,1
mantap desain apa yang buat dengan imajinasi akan penuh,5,1,1
baguss,5,1,1
sangat tarik,5,1,1
sangat baik,3,1,1
ok si,5,1,1
alhamdulillah sangat manfaat,5,1,1
sangat bantu,5,1,1
keren,4,1,1
sangat puas canva bantu saya untuk edit tugas,5,1,1
,5,1,1
aplikasi bagus,5,1,1
aplikasi ini sangat bantu saya dalam desain dan tentu hasil desain pun sangat muas saya kasih bintang the best,5,1,1
food,5,1,1
ada banyak fitur yang sangat bantu dalam buat desain pilih elementnya juga banyak tetapi akhir akhir ini jalan sangat lambat untuk unggah mendownload bahkan hanya untuk buka desain perlu waktu cukup lama padahal koneksi intermellnet lancar dan memori sisa banyak untuk developer tolong baik lagi masalah kait makin lama canva dalam merespon perintah terima kasih,2,0,0
bagus,4,1,1
kerja bagus,5,1,1
aplikasi ini sangat bantu untuk buat poster poster yang bagus,5,1,1
simpel manfaat terima kasih canva,5,1,1
bagus,5,1,1
sering susah masuk pk ajar id,1,0,0
kalau bisa kasi tutorial nya dong memang bagus ini apl nya tetapi tidak bisa cara makenya,5,1,1
ok,4,1,1
sangat bantu,5,1,1
top,5,1,1
sangat siple,5,1,1
bagus syekalii,1,0,0
aplikasi ini bagus dapat bantu siswa yang ingin buat desain cover buku tolong lebih kembang lagi ini sudah sangat bagus kok semangat ya,5,1,1
sangat mensupport dalam segala aktivitas kerja,5,1,1
bagus,5,1,1
bagussy,5,1,1
aplikasih ini sangat bantu bagi saya,1,0,0
yupzx,4,1,1
mudah untuk edit,5,1,1
jelek,1,0,0
oke sekali pokok mah,5,1,1
tidak bisa masuk rudeut,1,0,0
bagus cuma suka ngelag sedikit,5,1,1
i like,5,1,1
bagus komplet dan simpel,5,1,1
ok,5,1,1
canva keren,5,1,1
tarik dan senang,5,1,1
cepat sederhana hasil baik,5,1,1
bagus,5,1,1
untuk fitur fitur yang ada di dalam sudah bagus tetapi tolong kepada developer baik bugnya yaitu jaring padahal jaring di rumah sudah sangat bagus tetapi pada saat edit vidio tugas lot sekali tolong segera baik soal banyak tugas,3,1,1
moga manfaat terima kasih,5,1,1
a ml,2,0,0
keren,5,1,1
sangat guna,5,1,1
apa nya bgss,5,1,1
maaf untuk bintang nya ini kenapa saldo saya tarik yaa besar ribu padahal sudah tidak ada langgan lagi,5,1,1
sangat bagus,5,1,1
the best,5,1,1
best,5,1,1
not bad but not good,4,1,1
ok,4,1,1
mantaf,5,1,1
baik,4,1,1
mantap,5,1,1
terima kasih telah batu presentasi kami,5,1,1
sangat bantu,5,1,1
cukup bagus dan tarik buat edit,3,1,1
benar bagus tetapi dia agak lambat,2,0,0
kereeen,5,1,1
bagus,5,1,1
keren,5,1,1
baik,1,0,0
easy,5,1,1
kren appsnya,5,1,1
good,5,1,1
keren,5,1,1
sngat luar biasa bantu,5,1,1
gacor kang,5,1,1
aplikasi bagus tetapi banyak lag jika di android tetapi kalau di chrome tidak ada lag sama sekali,4,1,1
baguss sangat keren canva bisa bantu buat tugas ah perfek pokok,5,1,1
sangat bagus,5,1,1
bguss sangat,5,1,1
mantap,2,0,0
kini tak perlu sulit lagi kalau ingin buat walpaper stiker video kartu ucap dan bagai cukup canva saja di google play store,5,1,1
tidak bagus terlalu jelek,1,0,0
terms kasih,5,1,1
,5,1,1
saya sudah coba canva di leptop saya bagus sekali jadi saya donlod di hp,5,1,1
keren,5,1,1
sangat muas dari aplikasi canva,5,1,1
mantap,5,1,1
aplikasi sangat buruk karena lot padahal jaringanya bagus,1,0,0
moga di tf ke kan sudah di kasi bintang,5,1,1
sangat muas,5,1,1
verry good,5,1,1
