content,target_type
matio,1
sangat cukup bantu,0
bagus,1
sangat bantu,1
ok,1
bagus sekali,1
mantap,1
baik,1
mantap,1
puas sangat terima kasih canva,1
sangat mudah dan bagus,1
sangat bantu kerja sekolah,1
manfaat terima kasih,1
mayan bantu aamiin,1
bagus tetapi sering lag,1
sangat bantu,1
suka sangat,1
canva bantu,1
canva beri mudah bagi kita guna,0
sangat bagus,1
sangat mudah dan manfaat,1
ok baik sekali,1
baru mau ajar,1
bagus sekali kembang lagiya,1
bagus apakah nyaa,1
sangat bagus,1
kereennn bangettt huhuuuu jadi gampang sangat dahh buat edit foto vidio,1
terimakaih aplikasi yang sangat bagus,1
buat poster sangat bagus dan tarik tiap buat,1
bagus untuk canva,1
sangat bagusss,1
ok,1
canva sangat bantu sekali dalam dunia per desain nan,1
perveck,1
baik,0
very good,1
keren,1
sangat bantu,1
maa syaa allah sangat baik untuk desain apa itu,1
mantap dan lengkap,1
servernya suka lot dan eror,0
lintang,1
sangat bantu dan mudah mantap,1
mudah sekali untuk bikin materi,1
bagus sekali aplikasi saya suka,1
aplikasi yang manfaat,1
keren,0
sangat bagus bisa bantu bagi raka yang belum paham ps,1
oke sekali,1
bagus,1
terlalu lot dan banyak bug,0
beberapa kali edit gambar pakai canva lancar fitur dan template nya banyak overall bintang,1
aplikasi keren mnurutq dalam dunia desain praktis sangat buat yang buru buat desain,1
sangarrr,1
mantap,1
aplikasi sangat bagus,1
bagus,1
sangat mudah di guna,1
the best sudah,1
sangat bantu,1
masih coba,1
sangat bagus aplikasi sangat bantu dalam hal desain,1
mantap,1
cacad,0
lucu,1
mantafppp,1
sudah inspirasi seluru indonesia,1
bagus,1
keren habis,1
mantaaappp bagus sekali,1
good,1
guna,1
sangat bagus tetapi harus lebih banyak pulih warna,1
sangat bantu,1
bagus sekali aplikasi sangat bergunaaaa,1
mudah di ajar,1
banyak sekali desain bagus sangat bantu,1
lot,0
perfect,1
bagus sekali,1
mantap,1
hasil bagus mudah aplikasi dan mantap,1
aplikasi good,1
keren,1
buat logo sangat bagus,1
pertama kali coba bagus,1
bagus,1
aplikasi ini bagus saya sangat suka,1
saya kok tidak bisa ganti baju nya mirip tidak ada letak fitur nya,0
lot banh,0
bagus,0
bagus sangat,1
top sangat,1
mantab,1
bagus skli apakah nya,1
cukup baik,1
sangat bantu,1
bagus tetapi jangan lelet,1
guud,1
keren,1
ok,1
disain mudah di paham,1
awal saya pakai aplikasi ini bagus tetapi telah lama jadi warna putih kalau sudah di baik saya kasih bintang,1
bagusssssss bangttttttttttt canvaaaaaa,1
mantap aplikasi,1
saya sangat kes dan kenan untuk ajar,1
bagus,1
bagus buat bikin tugas presentasi,1
baik,1
mantaap,1
saya tidak pernah langgan di apakah ini mungkin teman atau keluarga tanpa tahu saya minta kembali dana syaa mohon,0
wooo,1
stay since tahun of october then i had to uninstall yesterday i dont wanna made spamming or worsen due to my data breach,1
aplikasi baik,1
best,1
sangat bantu,1
mantaf,1
aplikasi bagus sekali suka karena bikin tugas jadi lebih gampang,1
keren,1
sangat bantu,1
bagus sekali buat mula seperti saya,1
top,1
keren,1
yeq,0
sangat bantu,1
buagooouusss,1
sangat baik,1
mantap,1
baguss sangat bantu buat nilai,1
good,1
bagus sekali meski awal bikin pusing soal tidak paham,1
aplikasi yang bagus manfaat,1
baik,1
bagus dan mudah,1
sangat bantu,1
yang grtis lebih banyak lagi dong,1
keren,1
bagus,1
ok,1
canva so great seru,1
mantap bantu untuk kembang usaha saya,1
baru mau tes,1
sangat bantu dalam buat tugas dan kreativitas,1
aplikasi canva bagus dan mantap,1
sangat bagusss dan bisa untuk selesai tugas dari sekolah apakah nya sangat guna dan manfaat dan cocok buat yang sedan desain gambar pola untuk tugas atau lain,1
tidak bisa mendownload,0
sangat bagus,1
sangat bantu untuk bagai perlu terima kasih canva seru,1
aplikasi canva sanggat bagus dan mudah saya untuk kerja tugas tugas saya,1
bagus sekali aplikasi,1
bagus,1
nice,0
bantu buat logo dan desain dengan mudah,1
good,1
sangat bantu dan mudah aplikasi terima kasih,1
bagus,1
lot anjir,0
good,1
terima kasih telah mudah dalam buat media ajar sehingga makin asyik,1
keren,1
aplikasi canva ini bisa andal sekali untuk bantu buat persentase dan amat payah untuk buat video utama yang kena dengan audio,1
bagus,1
aplikasi mantul sangat bantu,1
bikin kanva offline,0
oke,1
ini gimana cara masuk nya ko tidak bisa ua,1
ok,1
maaf ya canva ini bagus saya suka taoi kurang nya dia itu lot sangat dan nguras banyak internet apalagi kalau buat poster pas buru terus lot,1
baik,1
mantaap,1
untuk edit video tidak saran guna canva hasil jelek putus putus susah guna elemen lain dan lot benar benar bikin kecewa seru seru,0
aplikasi yang sangat kreatif tetapi sayang jaring di tempat saya sangat buruk,1
alapyu,1
mantap,1
hebat dan mudah di guna,1
keren,1
kenapa canva tidak bisa di buka padahal sinyal banyak,0
bagua,1
keren,1
kren sekali moga tetap the best,1
sangat baguss,1
bagus,1
teh daun kelor yang di proses di dalam suhu ruang dengan tingkat suhu kisar drajat sehingga nutrisi yang ada pada daun kelor tetap jaga,1
bagus dan canva nya bisa buat tugas,1
keren pokok,1
keren aplikasi,1
kenapa tidak bisa log in,0
keren,1
mantap bos,1
bagus,1
bagus sekali,0
mkasih yah hihi bagus kok,1
bayak bugnya sekarang bagaimana siiii sudah tidak bagus dulu,0
sangat guna,1
sangat bantu umkm dalam buat iklan produk terima kasih canva,1
bagus bisa edit fto video hanya kalau elemen mau yang lebih bagus harus pakai canva pro yaitu harus bayar ya pokok the best tetapi sedikit susah untuk bikin ky poster ajar dagang jadi saya hanya bisa asih bintang saja dulu,1
bug nya makin banyak bikin kesal saja waktu ngedit kurang nyaman mirip lag oading lama sekali refresh kali kali masih problem saja sinyal banyak dan ruang simpan juga masih banyak kosong nya tolong baik cepat karena turut saya canva aplikasi yang sangat bantu desain an,1
bagus,1
baguss,1
tks canva,1
mantap bingitsz,1
apakah nya sangat bagus sekali,1
baik,1
keren bagus aplk nya,0
baik,1
kalian wajib download karana fitur nya bagus terima kasih saya jadi suka terima kasih banyak sudah ada fitur fitur lain,1
bagus,1
aplikasi yang bagus,1
mantap,1
ini cocok buat orang gambar sihh pokok bagus sangat dehhh,1
sangat bantu ketika buat tugas desain,1
sangat mudah guna,1
bagussssss,1
tolong di baik lagi saat untuk login ke akun ajar id terkadang situs error,0
sangat bagus,0
sangat bagus,1
rekomendasi sekali karena sudah komplit semua,1
salah satu aplikasi yang sangat bagus dan cocok bagi desainer,1
guna sekali aplikasi ini,1
bagus sekali,1
bagus,1
sangat bantu untuk kreasi,1
mantap bangat,1
this is so good to use seru seru,1
bagus sekali,1
bagus,1
sudah lama menggunalan aplikasi canva tetapi minggu ini tidak bisa masuk mohon cerah min,1
sangat bantu,1
sangat bagus,1
canva sangat bantu saya dalam buat vidio ajar,1
bagus,1
aplikasi bagus sekali cocok untuk latih bikin logo bintang sih,1
bagus,1
mudah guna,1
sangat bagus,1
kereeeee,1
aplikasi ini bagus sekali untuk ajar seperti saya,1
aplikasi sangat bagus sampai sampai saya buka aplikasi nya pun muter terus padahal sinyal bagus sangat bagus sekali,0
kurang bagus ketika ingin login buat akun kali mncb tetap salah padahal cara tlsn email dan password sudah benar semua tetapi tetap tidak bisa buat akun there still plenty of cellphone memory still can t dulu belum nya juga sudah punya sengaja saja di hapus and also orang bilang this application juga banyak sekali iklan walaupun tidak gratis tidak pantas juga seperti itu please fix itu immediately and mudah untuk buat akun nya kasihan yang lain tidak maka hp iphone jadi susah ribet bet,0
bagus,1
sangat apresiatif untuk canva karena super duper keren dan kreatif dengan desain yang tarik dan kaya varian templet banyak guna dalam segala aktivitas dan momen,1
bagus hasil,1
mantapz,1
baik bagus guna asyik mantap,1
sangat bagus cocok untuk buat poster dan edit foto terima kasih canva,1
mantap,1
goodddd,1
sangat bantu,1
terima kasih app nya sangat bagus,1
fiturnya sangat lengkap dan sangat mudah guna yang baru ajar desain,1
saya sangat puasss,1
bagus,1
ngeleg,0
sangat bagus,1
sangat bagus canva,1
sangat bantu dan mudah guna,1
saya suka,1
sejak ada aplikasi ini tugas saya makin tambah,0
ok,1
over all good mungkin di tambah lagi stiker lucu dan aesthetic nya terima kasih,1
excited luv,1
ok,1
oke,1
bagus bgttt,1
bagus untuk ajar edit,1
smart people always have a good choose,1
ssngat maembantu,1
karena tidak mirip sama microsoft,0
the best,1
baguus,1
good,1
bagus dana keren,1
bro ini bagus loch,1
saya suka sekali canva,1
aplikasi bagus,1
puas,1
nice,1
ytta,1
keren cara mudah buat brbagai macam spanduk dan bahan ajar,1
kerren,1
bagus,1
sangat bantu,1
bagus,1
sangat bagus,1
nganuu,0
keren,1
aplikasi sangat bantu sekali sukses terus canva,1
jauh ini masih bagusss,1
aplikasi nya bagus dan mudah guna,1
bagus,1
bagus,1
sangat bantu dalam buat konten,1
sudah tahun akhir guna canva ok sekali sih buat edit foto video tugas buat media ajar dan lain fiturnya ok semua,1
aplikasi bagus dan sangat guna untuk saya karena bisa buat poster atau apa itu yang tarik tetapi tolong di baik soal kalau misal kita taruh hp kita nanti dokumen nya hilang,1
mudah dan praktis untuk buat presentasi,1
keren,1
sangat bagus dan sangat bantu terima kasih canva,1
maaf kata kasar min karena saldo tiba hilang saja bikin panik,1
mudah dan profesional,1
lumayan bantu,1
hei canva bisa tidak kembaliin pulsa saya tanya tanpa ada tuju untuk panjang main potong pulsa orang saja siij,0
bagus,1
jauh ini paling jos,1
mantap,1
matapp,1
bagusss puollllllllllllll,1
bagus,1
bagus,1
mantap,1
bagus,1
mering kan bebas sekali,1
mntep,1
sangat baik,1
oke,1
aplikasi yang bagus rekomendasi,1
memang jempol ya thank yak,1
bagus bangetttt wauuuu emezing,1
bagus,1
bagus sekali,1
bagis,1
bagus sekali,1
ok,1
bagus,1
mantull aplikasi y,1
baik dan mudak kerja,1
kenapa sih sering sekali lot saat buka elemen dan lain lain nya tolong lah padahal jaring lancar sangat pas di canva kenapa jadi ngelagggg,1
saya tidak bisa login canva guna akun ajar id padahal semua nya sudah benar,0
sangat bantu,1
sangat bantu kalau bisa semua gratiss,1
best app to design,1
sangat puas dan sangt bantu,1
bagus,0
karena saat saya mau edit tampil elemen nya tidak muncul padahal jaring wifi baik saja baik ya canvaa,1
keren aplikasi nya,1
good this is because i can pakai work faster,1
tiap kali mau buat disain loding lama sekali,0
baik,1
mantapp jiwa,1
betul bagus tetapi kalau mau ngedit kadang lot,1
kereen desain yang guna untuk brbagai macam tuju,1
keren dan praktis,1
bagus tetapi sangat sering crash error padahal saya guna yang bayar saya kembali bintang kalau sudah baik,0
aplikasi canva sangat mudah para desainer dan anak anak muda yang ber foto geafel bisa cari uang dan sayang sangat senang ada aplikasi ini puas,1
sangat bantu,1
error,0
baguss aplikasi nyaa,1
harus,1
luar biasa,1
bagus,1
aplikasi sangat bagussss,1
lopeeeee,1
bagus dan elegan,1
kerenn ig kelas saya jadi kecehh pakai apakah iniii,1
sangat bantu,1
bagus,1
bagusss,1
sangat recommend,1
cakap,1
aplikasi jos,1
baguss tetapi kalau di akun saya tidak bisa buat canva ajar padahalll saya ajar,1
terlalu lama proses save filenya,0
baik,1
sangat bantu,1
sangat bantu,1
beberapa waktu tidak saya buka dengan akun ajar id tiba logout sendiri dan tidak bisa login lagi dengan email apa aplikasi force close terus,0
ada gratis nya,1
cukup bantu,1
ziarah,0
good,1
oke,1
sangat bagus,1
aplikasi juara,1
tidak bisa masuk aneh ni apakah padahal sinyal bagus bagus saja,0
good,1
bagus sekali semua fitur lengkap dan bagus saya suka seru seru,1
aplikasi terkadang lag tetapi ada banyak bagai kreativitas dalam aplikasi jadi turut saya tidak buruk juga,1
canva bagus si benar tetapi loading nya lama padhall sinyal juga kencang tetapi sayang lama sekali kalau mau buka fiturnya begitu jadi males apalagi kalau sudah buat nugas sering sekali ke begitu lama tolong ya di baik lagi,1
aplikasi yang sangat bantu di semua aspek kerja,1
ok saja,1
loading nya lama sekali,0
aplikasi ini loading lamaa sekali padahal jaring saya baik saja saat buka aplikasi lain,0
bagussss,1
aplikasi sangat guna elemen sama template nya juga pada bagus tetapi hanya saja aplikasi lot sekali jadi susah mau ngedit ngedit,1
aplikasi nya bagus,1
sangat bagus,1
bagus tetapi kalau lagi buat kadang ada yang ngeblenk,1
saya suka canva,1
ihhh suka sangat saya sama aplikasi ini,1
sangat bantu apabila ada tugas sekolah dan bantu saya juga dalam edit foto juga banyak templat templat yang tarik,1
sorry min bintang karena video yang saya capai capai buat dari canva tidak bisa di download,0
mudah sekali kalau mau design sesuatu tetapi lambat sekali anjinggg tidak cocok buat orang yang sabar setip tisu bisa tidak sih di baru lagi biar tidak lot sangat begitu,0
bagus sih tetapi banyak sekali template yang hanya bisa guna dengan premium jadi kurang muas,1
sangat manfaat,1
ok,1
keren,1
mantap saja,1
thebest,1
good,1
pokok keren,1
good like,1
dupserter,1
pas mau masuk ke room edit malah closed,0
good,1
bagus,1
untuk ukur khusus custom tulis size cuma tidak bisa di klik posisi terlalu pojok bawah tolong baik,0
mantap,1
bagus tetapi suka lama ngebuka nya,1
baguss sangat aplikasi nya mudah buat edit,1
canfa the best aplikasi design,0
keren luar biasaa terima kasih canva baru pertama bikin benar kalau buah ajaib,1
plikasi bikin poster baik,1
sangat baik,1
sangat bantu,1
aplikasi tidak jls untuk edit lambat sekali buat kesal saja padahal jaring bagus tetapi tetap saja lambat ck,0
bagusss,1
bagus tetapi turut saya apakah nya di naikin lagi ya kak kualitas nya,1
bagus,1
apakah ini bagus sekali bisa ngebantu ngedit ngedit tugas sekolah atau konten apa tetapi kadang suka ngelag padahal jaring baguss kenapaa ya tanya,1
bagusss sekali sumpah,1
sudah dowload canva berapa kali tetap hasipnya nihil tidak ada yang benar semua baik kalau mau ratting nya bagus masih tetap ah ni yah sudah saya dowload ulang tetapi henti terus apa yang salah sih,0
mantab kali,1
keren sekali gan,1
bagus,1
wow desain nya sangat estetik,1
mantap,1
aplikasi tidak jelas apa saja pro harus bayar terus pas sudah bayar bikin bagan sering nge freeze padahal saya ip aneh,0
bantu dalam edit tiap giat utama media sosial,1
mungkin di sini saya harus kembang bakat saya heheheh,1
sangat bantu,1
bagus bantu buat tugas,1
baik,1
mantap,1
bagus,1
baru pertama kali coba senang,1
bantu,1
ini sangat bagus dan mudah di guna,1
kualitas burik,0
bagus sekali dan sangat bantu untuk edit dengan banyak nya template mudah saya,1
fitur edit lengkap bagus juga buat bikin konten atau untuk tugas kampus,1
awesome,1
lumayan bagus,1
aplikasi sangat muas,1
luar biasa,1
bagus dan bantu,1
suka sekali foto bisa langsung dijadiin pdf bagus buat saya yang males ngedit lagi hehehehehehehheheh suka sekali pokok terus fiturnya lengkap bgtt suka terima kasih canvaaaaaaww,1
keren,0
agak susah yhh bun,1
puas aplikasi desain baik,1
recommended seru seru,1
lmott padahal wifinya lncar,0
baik,1
aplikasi ini sangat bagus,1
adzkia nur safitri,1
sangatbmenba,1
masih di ajar karena baru pakai,1
sangat bagus dan tidak ada iklan,1
bagus sangat mudah,1
cool,1
pelit,1
mudah dan cerdas,1
bagus mudah,1
kecewa apakah nya sering lot padahal jaring bagus,0
sangat bantu kerja,1
memang ajib saya puas guna aplikasi canva,1
simpel dan praktis saya suka apakah nya,1
sumpah ini app bantu sekali buat poster dakwah,1
app yang sangat bantu,1
sangat bagus,1
good job mantul aplikasi ini super super bagus,1
mohon maaf ini kenapa canva tiba tiba jadi burem yaa tanya mohon baik,0
jaring internet full tetapi aplikasi seperti berat sekali loading nya lama,0
ngeleg,1
bagus,1
bagus,1
bagusss trusss muas bisa bantu saya dalam kerja eja sekolah,1
bagus sih tetapi tidak bisa di instal,1
kok tidak bisa dibukak kenapa ya kak,1
saya baru pernah ikut aplikasi ini,1
sangat bagus buat gedit,1
lot sangat tidak di windows tidak di hp nang bangettt rasa pas ngedit di canva hp ken sekali saya bantingg arghhhh canvaa ayo kasih saya iphone biar tidak rasa betapa sangat amat amat lot aplikasi kamu ini,0
bantu bangettt,1
ok,1
aplikasi sangat bantu dari buat disaener hal pribadi dan yang lain pokok bagus sangat deh ngebantu saya buat kreasi juga terima kasih canva,1
bagus sekali tetapi agak ngelag,1
bagus sekali inti yang mau buat apa saja di sini ada,1
kenapa pas ngedit tidak muncul fitur fiturnya ya tanya padhl koneksi saya bagus dan saya ulang terus tetapi tetap sama mohon bantu,1
sangat bagus saya suka,1
bagus sekali apakah nya,1
mantab,1
ok,1
keren,1
editing yang kelas,1
oke sekali,1
bagus,1
sangat bagus dan pakai buat yang di perlu,1
jelek,1
loading lama,1
baik,1
aplikasi apa game yang bwrat saja lancar jaya jaring tetapi bukak aplikasi ni kek babi,0
kereeen sangat mudah guna nya terima kasih canva,1
aplikasi bagus mudah kerja saya,1
suka sekali,1
baguss,1
keren,1
ups,1
bagus,1
i am very happy when trying and feeling how canva is developing nowadays especially in the ai aspect of itu if you could please improve the quality of the ai process for example on the image expansion feature which is still a little blurry when adding for multiple layers over and over again thank you,1
bagus sangat buat mula bagus,1
aplikasi yang sangat bantu bintang,1
mirip master,1
canva bagus buat ngedit tugas saya sering pakai kalau butuh,1
mantap aplikasi yang bagus buat edit foto dan vidio,1
mantap sekali,1
keren,1
hasil bagus dan tidak ribet popok sat set sat set selesai,1
bagus banyak fitur yang mudah kita bagai mula,1
good job,1
bagus,1
keren,0
sangat butuh untuk para siswa kesan sekali,1
googd,1
overall saya sukak sihh sama canva karena ya buat edit fto feeds ig kelas jadi gampang buat logo kelas jadi gampang dan buat edit fto gampang pokoknyaaaaa lopp buat canvaa,1
bagus,1
keren,1
bagu juga tengks,1
kerennn,1
sangat ok,1
mantap,1
masokkkk,1
keren,1
kenapa aplikasi canva nya suka stuck di loading screen dan tidak bisa masuk ke dalam aplikasi,1
good for all,1
template cv nya bagus bagus,1
aplikasi ini sangat guna dan manfaat utama bagi saya yang rupa orang ajar dapat bantu dalam selesai tugas tugas sekolah upa power point buat poster tidak hanya itu bahkan di aplikasi ini bisa edit video thank you,1
tolong bug nya di benerin suka stuck di loading screen,1
bagus sekali,1
bagusssss,1
good,1
bagussss,1
aplikasi yang wajib sekali untuk di instal karena fiturnya sangat manfaat sehingga tidak perlu bayar jasa editing karena bisa edit sendiri sesuai dengan ingin dan hasil juga langsung bisa guna tanpa harus tunggu lama templete yang di sedia juga sangat banyak dan agam,1
keren aplikasi,1
keren,1
tarik,1
canva sangat bantu saya dalam siap tugas logo dan kreatifitas untuk ig kelas saran saya banyak lagi tamplet nya,1
seruuu buat bikin tugas,1
sangat bantu untuk promosi,1
bisa di buat sarana ajar,1
mantap,1
saya bagai ajar rasa bantu sekali,1
sangat bantu,1
sangat batu sekali,1
bagus,1
sangat bantu tugas kami,1
bagus nih aplikasi,1
aplikasi ini sangat bantu dan mudah guna recommended,1
aplikasi sangat bantu saya dalam edit untuk perlu bisnis saya pilih thema sangat variatif,1
bagus sekali,1
sangat bagus,1
good,1
awal susah karena saya memang tidak ada basic desain tetapi bantu dengan semua desain yang ada di canva aplikasi nya keren cocok buat mula seperti saya,1
niam gante,1
mau ngedit saja ribet,0
canva selalu yang baik,0
aplikasi yang sangat manfaat sangat mudah guna,1
mudah,1
kalau mau pakai aplikasi susah sekali padahal mau ngedit hari itu juga tidak jadi,0
aplikasi desain baik bakat desain saya jadi bisa wujud berkat aplikasi ini terima kasih canva,1
saya sangat suka dengan aplikasi ini karena sangat bantu kerja saya baik dalam meng edit tugas saya atau buat tugas baru kurang turut saya saat saya guna powerpoint pada apl ini sering lelet saya harap pihak google dapat mengupgrade apl ini ke versi baru terima kasih,1
sangat bantu untuk mula yang masih gaptek karena dengan aplikasi ini kita mudah untuk buat video atau edit foto saran banyak menu yang mudah dan bisa buat video jadi sangat tarik,1
bagus,0
mantap,1
nice,1
sangat bantu dan juga beri mudah dalam sedia media untuk edit,1
mantap,1
sangat bagus dan bantu dalam buat tugs,0
coba lebih baik,1
sangat mudah guna,1
semua keren,1
senang,1
fleksibel untuk hp dan komputer bikin enak buat ngedit,1
bagus,1
suport,1
akun ajar id dan akun google tidak bisa log in saya habis waktu jam tetap tidak bisa aplikasi mirip rusak soal kalau pakai website canva masih aman plisss baik mepet nih tugas,0
baguss,1
tidak ada topik,1
bagus sekali,1
keren,1
sangat bagus aplikasi nya keren,1
gampang cara edit,1
good,1
tidak bisa buka aplikasi ini tolong ikan informasi supaya bisa di buka,0
aplikasi baik,1
terima kasih karena telah bantu kami,1
benar canfa ini aplikasi bagus tetapi kalau mau ngedit itu kertas kurang lebar,1
cukupp baik,1
top,1
mantap,1
kenapa saya tidak bisa masuk ke dalam canva padahal sudah masuk lewat email tetapi tetap tidak bisa masuk,0
kok aplikasi tidak bisa buka di hp ya tanya,0
bagusssssss bangetttttt,1
good,1
aplikasi bagus,1
bagus,1
aplikasi yang sangat meba,1
sangat keren,1
sangat puas,1
canva sangat lah anjinggg masa iya saya mau ngedit terus si canva nya muat ulang muat ulang terus habis itu gambar nya tidak muncul terus kalau lagi di tingl sebentar hp nya terus mati saja lnsung kembali dan harus mulai ulang siapa yang tidak kesal coba sudah ulang kali saya coba terus hampir tengah hariiii saya buka canvaa bagi adminnn mohon di baik seru seru seru seru seru saya tidak mau tauuu pokok nya kalau belum di baik saya akan tetap asih bintang kalau perlu gaush kasih bintang sama sekali,0
bagus,1
solusi digital untuk kreatif,1
sangat bantu dalam buat presentasi,1
mantap,1
perfek,1
terima kasih canva telah mudah saya kerja tugas,1
ok,1
sangat bagus,1
mantap sekali,1
badut sekali,1
ok,1
suka sekali sama aplikasi canva,1
saya masih coba dan ajar guna,1
app yang tarik n bagus,1
sangat cocok,1
sang baguu,1
baik,1
bagus mudah guna keren juga,1
sangat bagus,1
ok sekali sangat bantu,1
benar nya aplikasi sangat bagus tetapi sayang sekali sangat lambat padahal internet stabil tetapi canva ini lot sekali,1
aplikasi ini memang bagus tetapi kurang aplikasi ini adalah sering ngeleg dan suka lot,1
good,1
sangat cocok untuk mula dan seru,1
bagus deh,1
aplikasi ini sangat bantu,1
aplikasi bagus tolong tambah font eurostile interstate ke canva tetapi yang gratis ya jangan di pro,1
bagus,0
sangat bagus,0
template nya bagus,1
busuk apakah nya tetapi bohong bagusekali wajib coba dan donglod,0
bagus bangat saya suka sekali karena saya ajar edit dan lain lain,1
tanda apakah jelek buat saya,0
good sih baru sadar wkwkwk,1
sangkat bantu,0
keren,1
apakah nya sangat jaring,0
very good,1
